iter	Passed	Remaining
0	0	63
1	1	58
2	1	57
3	2	54
4	2	54
5	3	51
6	3	52
7	4	51
8	4	49
9	5	49
10	5	47
11	6	47
12	7	47
13	7	46
14	7	45
15	8	44
16	9	44
17	9	43
18	10	43
19	10	43
20	11	42
21	12	42
22	12	41
23	13	41
24	13	40
25	14	40
26	14	40
27	15	40
28	16	39
29	16	39
30	17	38
31	18	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	34
38	21	34
39	22	33
40	22	33
41	23	31
42	23	31
43	24	30
44	24	30
45	25	30
46	26	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	34	20
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	38	17
69	38	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	43	12
77	43	12
78	44	11
79	45	11
80	45	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	55	1
98	55	0
99	55	0
